CMDLINE C:\Python\311\python.exe Vamprior_4branch.py
MEM 725.167969 1721046150.2675
MEM 725.179688 1721046150.3681
MEM 725.187500 1721046150.4686
MEM 725.203125 1721046150.5691
MEM 725.214844 1721046150.6698
MEM 725.226562 1721046150.7703
MEM 725.234375 1721046150.8708
MEM 725.250000 1721046150.9713
MEM 725.261719 1721046151.0718
MEM 733.707031 1721046151.1727
MEM 733.992188 1721046151.2731
MEM 734.464844 1721046151.3740
MEM 734.785156 1721046151.4750
MEM 734.878906 1721046151.5757
MEM 734.941406 1721046151.6768
MEM 735.007812 1721046151.7774
MEM 740.703125 1721046151.8780
MEM 743.593750 1721046151.9787
MEM 753.496094 1721046152.0789
MEM 759.171875 1721046152.1795
MEM 759.843750 1721046152.2805
MEM 759.976562 1721046152.3814
MEM 760.000000 1721046152.4819
MEM 760.000000 1721046152.5826
MEM 760.000000 1721046152.6832
MEM 760.000000 1721046152.7839
MEM 760.000000 1721046152.8848
MEM 760.000000 1721046152.9858
MEM 760.000000 1721046153.0869
MEM 760.000000 1721046153.1878
MEM 760.000000 1721046153.2890
MEM 760.000000 1721046153.3902
MEM 760.000000 1721046153.4909
MEM 760.000000 1721046153.5920
MEM 760.000000 1721046153.6931
MEM 760.000000 1721046153.7943
MEM 760.000000 1721046153.8956
MEM 760.000000 1721046153.9961
MEM 760.000000 1721046154.0974
MEM 760.000000 1721046154.1982
MEM 760.000000 1721046154.2987
MEM 760.000000 1721046154.4000
MEM 760.000000 1721046154.5005
MEM 760.000000 1721046154.6017
MEM 760.000000 1721046154.7030
MEM 760.000000 1721046154.8042
MEM 760.000000 1721046154.9053
MEM 760.000000 1721046155.0059
MEM 760.000000 1721046155.1068
MEM 760.000000 1721046155.2081
MEM 760.644531 1721046155.3087
MEM 769.539062 1721046155.4092
MEM 762.929688 1721046155.5100
MEM 772.132812 1721046155.6107
MEM 770.226562 1721046155.7117
MEM 769.882812 1721046155.8124
MEM 762.738281 1721046155.9128
MEM 764.937500 1721046156.0132
MEM 782.207031 1721046156.1138
MEM 783.843750 1721046156.2142
MEM 782.687500 1721046156.3147
MEM 782.703125 1721046156.4153
MEM 782.703125 1721046156.5162
MEM 782.703125 1721046156.6173
MEM 782.703125 1721046156.7179
MEM 782.703125 1721046156.8188
MEM 782.703125 1721046156.9199
MEM 782.703125 1721046157.0208
MEM 782.703125 1721046157.1217
MEM 782.703125 1721046157.2231
MEM 782.703125 1721046157.3240
MEM 782.703125 1721046157.4250
MEM 782.703125 1721046157.5262
MEM 782.703125 1721046157.6270
MEM 782.703125 1721046157.7279
MEM 782.703125 1721046157.8287
MEM 782.703125 1721046157.9299
MEM 782.703125 1721046158.0306
MEM 782.703125 1721046158.1319
MEM 782.703125 1721046158.2328
